trend,january,february,march,april,may,june,july,august,september,october,november,december,,new_tags_taxonomy,shopstyle_taxonomy
silver tone earrings,260,170,480,170,260,320,260,210,170,320,480,,,Jewelry - Earrings: Material,women.womens_clothes.jewelry.earrings
shattered glass nail,0,0,0,0,0,0,0,0,880,1000,480,,,,women.womens_beauty.beauty_tools.beauty_tools_nail_tools
rose gold tone earrings,210,210,210,210,210,260,260,210,170,320,480,,,,women.womens_clothes.jewelry.earrings
31 hour bag,480,390,390,480,390,390,320,320,320,390,480,,,,women.handbags
bedhead hair,720,590,320,320,260,320,320,320,390,480,480,,,,women.womens_beauty.hair_care
jersey gown,720,720,720,590,320,480,590,590,720,880,480,,,Dresses - Formal: Material,women.womens_clothes.dresses.evening_dresses
strappy jumpsuit,390,720,720,720,720,880,480,390,480,590,480,,,Romper and Jumpsuits - Silhouette,women.womens_clothes.womens_pants
eyelet skirt,720,1600,1900,1900,1900,1600,1000,720,720,590,480,,,Skirts - Prints and Patterns,women.womens_clothes.skirts
bohemian print,480,590,590,590,590,590,590,590,480,480,480,,,Trends - Prints & Color,women.womens_clothes
phillip lim coat,260,110,90,50,40,90,140,140,480,480,480,,,,women.womens_clothes.womens_outerwear.coats
leather bag charm,260,320,210,210,260,260,320,210,480,480,480,,,Accessories - Bag Charms,women.handbags
leopard shoulder bag,390,260,210,210,140,140,320,260,390,480,480,,,,women.handbags.shoulder_bags
metallic gown,390,390,320,260,390,390,210,590,480,480,480,,,Dresses - Formal: Embellishment,women.womens_clothes.dresses.evening_dresses
mod skirt,110,170,210,260,170,210,210,260,480,480,480,,,,women.womens_clothes.skirts
classic pants,320,390,320,390,390,480,320,320,480,480,480,,,,women.womens_clothes.womens_pants
ruffian manicure,390,320,480,260,210,260,260,260,210,590,480,,,,
mens relaxed fit pants,260,170,260,210,320,210,260,260,320,390,480,,,,men.mens_clothes.mens_pants
clear watches,390,320,260,480,390,320,390,320,320,390,480,,,,women.womens_clothes.jewelry
wool jumpsuit,210,170,110,110,110,170,140,390,590,590,480,,,,women.womens_clothes.womens_pants
mesh pumps,590,1300,1000,590,590,390,320,390,390,480,480,,,Shoes - Pumps: Materials,women.womens_shoes.pumps
scarf print,390,720,590,480,590,480,390,390,720,590,480,,,Trends - Prints & Color,women.womens_clothes.womens_accessories.scarves
satin sandals,320,590,720,720,590,590,480,390,390,260,480,,,Shoes - Sandals: Materials,women.womens_shoes.sandals
colorblock jacket,390,390,260,170,170,140,210,260,480,590,480,,,Outerwear - Jackets and Vests: Embellishment,women.womens_clothes.jackets
bare nails,260,260,260,320,320,390,390,1300,880,390,480,,,,women.womens_beauty.makeup.nail_products
colorblock coat,260,210,90,30,50,90,110,140,480,480,480,,,Outerwear - Coats: Embellishment,women.womens_clothes.womens_outerwear.coats
lip treatments,590,590,320,320,320,260,390,390,390,480,480,,,,women.womens_beauty.makeup.lip_products.lip_treatments
mens crossbody bags,480,590,320,480,320,590,590,320,590,480,480,,,,men.mens_bags
v neck gown,720,720,590,480,390,320,390,590,590,590,480,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses.evening_dresses
envelope crossbody bag,210,390,320,320,320,480,480,390,320,390,480,,,,women.handbags.shoulder_bags
super slim jeans,260,390,320,320,260,320,320,390,390,480,480,,,,women.womens_clothes.jeans
slim tapered pants,140,210,260,260,210,260,260,320,480,480,480,,,,women.womens_clothes.womens_pants
mens rose gold earrings,170,140,40,140,140,90,110,140,210,210,480,,,,women.womens_clothes.jewelry
makeup contour brush,170,210,110,170,140,170,210,210,260,390,480,,,Beauty - Contouring Products,women.womens_beauty
short sleeve romper,590,1000,1600,2400,2400,1900,1600,720,390,390,480,,,Romper and Jumpsuits - Silhouette,women.womens_clothes.shorts
logo bag,320,590,390,480,320,480,590,480,590,590,480,,,Handbags - Embellishment,women.handbags
snakeskin sandals,1300,2400,2400,2900,2400,2400,1600,1000,720,590,480,,,Shoes - Sandals: Materials,women.womens_shoes.sandals
boyfriend pullover,110,110,110,70,70,90,260,320,390,320,480,,,,women.womens_clothes.sweaters
sleeveless romper,480,1000,880,1000,1300,1300,880,480,480,480,480,,,Romper and Jumpsuits - Silhouette,women.womens_clothes.shorts
long length leggings,210,260,170,210,140,90,170,210,390,390,480,,,,women.womens_clothes.womens_pants.leggings
suede bracelet,320,480,390,480,390,590,390,480,390,590,480,,,Jewelry - Bracelet: Material,women.womens_clothes.jewelry.bracelets
python sneakers,390,480,480,480,390,390,590,480,480,480,480,,,Shoes - Sneakers: Materials,women.womens_shoes.womens_sneakers
printed bag,390,390,480,480,390,320,390,480,390,480,480,,,,women.handbags
mid rise pants,260,260,260,260,260,260,390,320,390,390,480,,,Pants - Silhouette,women.womens_clothes.womens_pants
wedge sneaker shoes,1300,9900,4400,720,260,390,590,480,590,480,480,,,Shoes - Fashion Sneakers: Classification,women.womens_shoes.wedges
woven boots,170,170,110,70,90,140,210,260,390,480,480,,,Shoes - Boots: Embellishment,women.womens_shoes.boots
waxed cotton coat,170,170,140,110,90,110,170,260,480,590,480,,,Outerwear - Coats: Material,
prism awards,880,720,880,390,590,1900,480,720,720,720,480,,,,
round watch,260,480,390,260,390,390,480,390,480,590,590,,,Accessories - Watches: Classification,women.womens_clothes.jewelry
reversible watch,320,320,320,320,390,260,320,320,390,480,590,,,Accessories - Watches: Classification,women.womens_clothes.jewelry.watches
acrylic hat,480,210,260,170,170,260,210,320,480,590,590,,,,men.mens_clothes.mens_accessories.mens_hats
convertible tote,590,720,590,590,480,590,590,480,590,480,590,,,,women.handbags.tote_bags
faux leather shoulder bag,210,390,320,320,170,390,480,320,320,480,590,,,,women.handbags.shoulder_bags
calf hair pumps,260,210,140,170,90,140,260,390,480,480,590,,,,women.womens_shoes.pumps
streetphotography,590,720,590,480,590,590,480,590,720,720,590,,,,
fringe drop earrings,50,20,170,70,90,110,70,50,70,260,590,,,,women.womens_clothes.jewelry.earrings
crew neck dress,390,590,590,590,590,720,590,480,720,720,590,,,,women.womens_clothes.dresses
semi rimless,480,480,590,480,480,390,390,480,390,480,590,,,Sunglasses: Frame Shape,women.womens_clothes.womens_accessories.womens_eyewear
mini leather crossbody bag,260,320,320,320,260,210,320,170,390,480,590,,,,women.handbags.shoulder_bags
open front jacket,390,480,480,480,590,390,480,590,880,590,590,,,Outerwear - Jackets and Vests: Silhouette,women.womens_clothes.jackets
colorblock bikini,1600,2400,1900,2400,2400,2400,1600,480,260,390,590,,,,women.womens_clothes.swimsuits.two_piece_swimsuits
orchid dress,880,1000,1300,1000,880,880,720,480,480,590,590,,,Dresses - Color,women.womens_clothes.dresses
denim trouser,390,590,590,390,320,480,480,590,590,720,590,,,Denim and Jeans - Classification,women.womens_clothes.womens_pants
glitten,590,390,260,210,170,320,210,260,390,590,590,,,Cold Weather Accessories - Gloves: Material,women.womens_clothes
gem stud earrings,260,320,390,390,320,390,320,260,480,480,590,,,,women.womens_clothes.jewelry.earrings
leave in shampoo,480,590,590,480,590,590,590,590,480,590,590,,,,women.womens_beauty.hair_care.hair_shampoo
mommytobe,880,880,720,720,480,590,590,590,590,590,590,,,Maternity Hashtags,
metal band watch,260,320,320,320,260,390,320,390,390,590,590,,,Accessories - Watches: Material & Color,women.womens_clothes.jewelry
oiliness,590,590,480,590,590,590,590,590,480,590,590,,,Beauty - Skin Problems,women.womens_beauty.hair_care.hair_shampoo.hair_shampoo_oily_dandruff
hacing,590,480,480,480,390,480,480,720,590,590,590,,,Beauty - Contouring Techniques,
neon trainers,590,880,1000,1300,1000,1000,720,720,720,590,590,,,,kids_and_baby.kids_and_baby_clothing.boys.boys_shoes
twill coat,320,390,170,140,110,140,210,390,590,720,590,,,Outerwear - Coats: Material,women.womens_clothes.womens_outerwear.coats
halter romper,880,1300,1900,2400,2900,2400,1900,1300,720,590,590,,,Romper and Jumpsuits - Silhouette,women.womens_clothes.shorts
mens clubmaster sunglasses,480,720,880,720,1300,1300,720,590,590,590,590,,,,men.mens_clothes.mens_accessories.mens_eyewear.mens_sunglasses
graphic dress,590,590,480,590,590,590,590,480,590,480,590,,,Dresses - Prints,women.womens_clothes.dresses
calf hair flats,390,320,260,140,110,210,320,480,880,720,590,,,Shoes - Flats: Materials,women.womens_shoes.flats
twill leggings,210,260,260,210,170,140,210,320,590,720,590,,,Pants - Leggings,women.womens_clothes.womens_pants.leggings
tailored clothing,480,480,480,480,480,590,590,590,590,590,590,,,,women.womens_clothes
woven sandals,1000,1900,2900,3600,2900,2900,1900,880,590,480,590,,,Shoes - Sandals: Embellishment,women.womens_shoes.sandals
mens tapered pants,260,320,260,260,260,390,320,320,590,480,590,,,,men.mens_clothes.mens_pants
linen jumpsuit,720,1300,1600,1600,1600,1300,880,590,480,480,590,,,Romper and Jumpsuits - Material,women.womens_clothes.womens_pants
triangle drop earrings,210,170,170,210,170,210,260,210,390,480,590,,,,women.womens_clothes.jewelry.earrings
linen tie,880,1300,1300,1600,1600,1600,1300,880,720,880,590,,,,men.mens_clothes.mens_ties
clay pack,480,480,590,480,480,590,590,590,480,590,590,,,Beauty - Korean,women.womens_beauty.skin_care.face_care
petite tee,320,320,480,480,480,480,480,390,480,590,590,,,Clothing - Petites,women.womens_clothes.petites.petite_tops
performance pullover,90,70,70,50,50,40,90,170,260,320,590,,,Activewear - Classification,men.mens_clothes.mens_sweaters
medium wash jeans,390,480,390,260,260,480,590,480,590,590,590,,,,women.womens_clothes.jeans
round toe flats,320,720,720,720,480,480,480,590,720,480,590,,,,women.womens_shoes.flats
acrylic gloves,390,170,210,170,140,110,170,260,390,720,590,,,Cold Weather Accessories - Gloves: Material,women.womens_clothes.womens_accessories.gloves
gradient lens,720,880,1000,1000,1000,1000,880,720,720,590,590,,,,women.womens_clothes.womens_accessories.womens_eyewear.sunglasses
plus size work dress,140,170,210,210,170,210,210,390,210,210,590,,,Dresses - Plus Size,women.womens_clothes.plus_sizes.plus_size_dresses
cap sleeve gown,880,1300,720,720,390,880,590,590,720,720,590,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses.evening_dresses
tokion,390,390,390,390,480,390,390,390,480,480,590,,,,
zebra sweater,480,320,210,140,140,170,170,260,880,590,590,,,,women.womens_clothes.sweaters
zebra skirt,880,880,880,590,590,720,720,590,1000,480,590,,,Skirts - Prints and Patterns,women.womens_clothes.skirts
dry patches,390,390,480,480,320,320,390,320,480,480,590,,,,women.womens_clothes
plus size jean,390,590,390,390,260,390,480,720,590,590,590,,,,women.womens_clothes.plus_sizes.plus_size_jeans
tassel bag charm,110,260,210,210,210,260,260,210,320,390,590,,,,women.handbags
animal print bikini,1000,1600,1900,1900,1900,1600,1000,720,720,720,590,,,,women.womens_clothes.swimsuits.two_piece_swimsuits
crepe jacket,720,1300,1300,1600,1000,880,1000,880,720,720,590,,,Outerwear - Jackets and Vests: Material,women.womens_clothes.jackets
crowsfeet,480,480,480,480,390,480,480,480,480,590,590,,,,women.womens_beauty.skin_care
mens wool blend coat,260,260,40,30,40,70,110,140,320,590,590,,,,men.mens_clothes
studded tote,590,590,390,390,320,590,590,590,590,480,590,,,,women.handbags.tote_bags
mens rimless sunglasses,720,880,1300,720,1000,1000,590,590,390,390,590,,,,men.mens_clothes.mens_accessories.mens_eyewear.mens_sunglasses
cap toe flats,480,720,590,590,390,480,480,590,480,590,590,,,Shoes - Flats: Classification,women.womens_shoes.flats
sunburned lips,1000,1900,2400,2900,4400,6600,4400,1900,1000,720,590,,,Beauty - Lip Problems,women.womens_beauty.skin_care.face_care.lip_balm_treatments
mens d ring belt,480,320,260,590,590,480,480,320,390,590,590,,,,men.mens_clothes.mens_accessories.mens_belts
underwear thongs,390,390,480,480,390,480,480,390,480,480,590,,,,women.womens_clothes.womens_intimates.thongs
open front coat,70,110,70,50,70,70,140,210,320,480,590,,,Outerwear - Coats: Silhouette,women.womens_clothes.womens_outerwear.coats
woven shorts,880,1000,1300,1600,1300,1600,1000,880,720,590,590,,,Shorts - Material,women.womens_clothes.shorts
pom bag charm,0,0,0,0,20,70,40,90,140,390,590,,,Accessories - Bag Charms,women.womens_clothes
studded shoulder bag,390,480,390,480,210,260,720,390,390,590,590,,,,women.handbags.shoulder_bags
winter whites,260,210,140,110,140,140,170,260,390,480,590,,,,women.womens_clothes
georgette blouse,590,590,590,590,480,480,480,480,480,590,590,,,,women.womens_clothes.womens_tops
victory roll hair,320,320,210,390,390,590,480,590,720,590,590,,,,
east west tote,390,390,480,320,320,320,320,210,320,480,590,,,,women.handbags.tote_bags
nail brightener,480,590,720,720,590,720,720,590,480,720,590,,,,women.womens_beauty.makeup.nail_products
suede satchel,390,320,210,170,170,260,590,480,480,590,590,,,,women.handbags.satchels
knit sneakers,110,110,170,110,210,260,320,320,480,480,590,,,Shoes - Sneakers: Materials,women.womens_shoes.womens_sneakers
hip brief,590,590,480,480,480,480,590,590,590,720,590,,,Mens - Underwear,men.mens_clothes.mens_underwear_and_socks.mens_briefs
mens cotton t shirt,140,260,390,590,480,590,320,260,390,590,590,,,Mens - Tees & Polos: Fabrics & Prints,men.mens_clothes.mens_shirts.mens_tees_and_tshirts
finger waves hair,170,210,260,320,260,320,390,390,390,390,590,,,,women.womens_beauty.hair_care
sweater nail,10,10,10,10,10,10,10,10,50,880,590,,,,women.womens_clothes.sweaters
nylon diaper bag,590,590,590,480,390,480,480,320,590,590,590,,,,kids_and_baby.baby_gear.baby_diapering.baby_diaper_bags
linen coat,880,1600,1900,2400,1600,1300,1000,880,1000,720,590,,,Outerwear - Coats: Material,men.mens_clothes.mens_blazers_and_sport_coats
phillip lim dress,880,880,1300,1300,1000,1000,880,720,1000,590,590,,,,women.womens_clothes.dresses
mens white gold earrings,320,210,260,260,260,320,260,320,390,590,590,,,,men.mens_clothes.mens_watches_and_jewelry.mens_jewelry
snake print top,880,880,720,720,590,590,720,720,1000,590,590,,,Tops - Prints,women.womens_clothes.womens_tops
slide heels,720,1000,720,880,880,880,720,720,720,880,590,,,"Shoes - Evening: Classification,Shoes - Heels: Classification",women.womens_shoes.sandals
cobalt blue lace dress,720,880,590,720,590,720,590,590,720,720,590,,,,women.womens_clothes.dresses
bubble foam,480,590,480,480,480,480,590,590,590,590,590,,,Beauty - Korean,women.womens_beauty.bath_body.body_cleansers
perfume shower gel,320,320,260,260,210,320,320,390,390,480,590,,,Beauty - Fragrance,women.womens_beauty.bath_body
air cushion foundation,320,390,480,480,590,880,1000,880,880,590,590,,,Beauty - Korean,women.womens_beauty.makeup
embellished gown,590,590,480,590,480,480,590,390,590,720,590,,,Dresses - Formal: Embellishment,women.womens_clothes.dresses.evening_dresses
high end mascara,170,210,260,170,170,170,210,170,170,390,590,,,,women.womens_beauty.makeup.eye_makeup.mascara
mens sterling silver watch,320,390,260,320,260,390,390,390,480,480,590,,,,men.mens_clothes.mens_watches_and_jewelry
jersey pencil skirt,1000,1300,1300,1300,1300,1300,1000,880,880,720,590,,,,women.womens_clothes.skirts
perforated booties,720,1000,880,720,720,720,880,720,880,720,590,,,Shoes - Booties: Embellishment,women.womens_shoes.boots
sampler gift set,20,20,20,30,30,10,10,20,20,260,590,,,Trends - Gifting: Beauty Sets,women.womens_beauty
pompom bag charm,30,20,40,40,70,40,50,70,70,260,590,,,,women
foundation cushion,320,210,320,390,390,320,390,320,320,480,590,,,Beauty - Korean,women.womens_beauty.makeup.face_makeup
mens lace up dress shoes,170,390,320,320,590,260,140,390,390,390,590,,,,men.mens_shoes.mens_lace_up_shoes
levis tapered jeans,320,590,480,390,260,260,260,480,390,480,590,,,,men.mens_clothes.mens_jeans
houndstooth  top,480,390,260,390,320,390,480,880,880,720,590,,,Tops - Prints,
manns chinese theater,210,260,260,260,320,320,320,210,320,260,590,,,,
rubber booties,320,320,320,170,260,140,210,480,480,720,720,,,Shoes - Booties: Materials,women.womens_shoes.boots
mini pashli,590,880,590,720,880,720,590,720,590,720,720,,,,women.handbags.satchels
mens straight fit jeans,320,260,260,210,210,260,260,390,480,590,720,,,,men.mens_clothes.mens_jeans
tassel charm,480,480,590,590,590,480,480,390,720,590,720,,,Accessories - Bag Charms,women.womens_clothes.jewelry
crocodile sneakers,480,390,480,480,390,480,320,320,480,590,720,,,Shoes - Sneakers: Materials,men.mens_shoes.mens_sneakers
mens short sleeve polo,110,320,390,260,260,260,260,170,320,720,720,,,"Mens - Tees & Polos: Silhouette,Mens - Shirting and Tops: Classification",men.mens_clothes.mens_shirts.mens_polo_shirts
crepe back satin,720,880,590,590,390,480,590,590,720,880,720,,,Trends - Fabric,women.womens_clothes
crepe top,720,880,880,1000,1000,880,1000,720,720,880,720,,,,women.womens_clothes.womens_tops
mixed media jacket,320,390,210,110,90,110,210,320,720,720,720,,,Outerwear - Jackets and Vests: Embellishment,women.womens_clothes.jackets
multi row necklace,720,590,480,590,590,590,590,480,480,590,720,,,Jewelry - Necklace: Classification,women.womens_clothes.jewelry.necklaces
summer leggings,1000,2900,4400,5400,4400,2400,1000,390,720,590,720,,,,kids_and_baby.kids_and_baby_clothing.girls
